,Unnamed: 0.1,Unnamed: 0,territory_id,year,period,age,gender,value,municipal_district_name_short,oktmo,municipal_district_name,region_code,region_name
0,0,0,1402,2023,год,0,Женщины,288.0,Ломоносовский,41-630-000-000,Ломоносовский муниципальный район,47,Ленинградская область
1,1,1,1402,2023,год,0,Мужчины,301.0,Ломоносовский,41-630-000-000,Ломоносовский муниципальный район,47,Ленинградская область
2,2,2,1402,2023,год,1,Женщины,277.0,Ломоносовский,41-630-000-000,Ломоносовский муниципальный район,47,Ленинградская область
3,3,3,1402,2023,год,1,Мужчины,316.0,Ломоносовский,41-630-000-000,Ломоносовский муниципальный район,47,Ленинградская область
4,4,4,1402,2023,год,10,Женщины,414.0,Ломоносовский,41-630-000-000,Ломоносовский муниципальный район,47,Ленинградская область
5,5,5,1402,2023,год,10,Мужчины,429.0,Ломоносовский,41-630-000-000,Ломоносовский муниципальный район,47,Ленинградская область
6,6,6,1402,2023,год,11,Женщины,395.0,Ломоносовский,41-630-000-000,Ломоносовский муниципальный район,47,Ленинградская область
7,7,7,1402,2023,год,11,Мужчины,431.0,Ломоносовский,41-630-000-000,Ломоносовский муниципальный район,47,Ленинградская область
8,8,8,1402,2023,год,12,Женщины,426.0,Ломоносовский,41-630-000-000,Ломоносовский муниципальный район,47,Ленинградская область
9,9,9,1402,2023,год,12,Мужчины,460.0,Ломоносовский,41-630-000-000,Ломоносовский муниципальный район,47,Ленинградская область
